Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Year,SSA_m2g,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title,av_cov_rad,av_n_val,var_cov_rad,var_n_val,var_pca,STY0,n
0.0,0.0,0.0,0.0260288539352753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109951954895963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7593030436487969,0.1047161475199648,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.03,1.3333333333333333,633,1,0.1463668799999999,0.3659171999999999,101039d2ra06960a,V-Ti-Bi,2023,5.8996475341554335,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.2438216470822687,0,P-V-Ti,153.12718711065088,4.240696956351203,270.4987304859149,0.1827619315544701,-0.2726241325184517,2.038242623745539,0.005683927755626487
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.03,0.4433333333333333,633,1,0.2290287999999999,0.572572,101039d3nj00221g,VPO-MCF,2023,263.61147199710695,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.1674203658577278,0,P-V-Ti,130.0,5.0,529.0,0.0,-0.2129912619805288,1.0163097960645902,0.005854500985014675
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015775924799303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.03,0.4433333333333333,633,1,0.245156,0.6128900000000002,101039d3nj00221g,UnModifiedV-Ti,2023,4.000006315672895,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.249624969489502,0,P-V-Ti,153.9392036486975,4.198318156746531,253.33849251322584,0.1589880654511891,-0.3203875721758073,1.1462020231473877,0.002095620087380239
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022903000348021,0.0,0.0,0.0,0.0938969584445408,0.0,0.0,0.0,0.7063934081541788,0.0974193333664782,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.03,0.4433333333333333,633,1,0.24657582,0.61643955,101039d3nj00221g,AllylSi-V-Ti,2023,7.900054085716734,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.2568621675355645,0,P-V-Ti,153.26420842277207,4.2204049917528685,277.0063545215062,0.1718266313632866,-0.2788506941662721,1.253970695290535,0.0009677013400140276
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022903000348021,0.0,0.0,0.0,0.0938969584445408,0.0,0.0,0.0,0.7063934081541788,0.0974193333664782,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.03,0.4433333333333333,633,1,0.3349959999999999,0.8374899999999998,101039d3nj00221g,Glycosidil-Si-V-Ti,2023,7.900054085716734,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.7075632098708782,0,P-V-Ti,153.26420842277207,4.2204049917528685,277.0063545215062,0.1718266313632866,-0.2788506941662721,1.6497608811809295,8.981269206325535e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.1,2.6666666666666665,633,1,0.175812,0.43953,102139ssrn4741336,1,2024,79.90701337414794,0.5110039573347626,0.204401582933905,0.0673114130660721,0.460312830751505,5.390437664816356,0,P-V-Ti,130.0,5.0,529.0,0.0,-0.2129912619805288,6.374510731002276,3.116454794027892e-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704626346521857,0.0,0.0,0.0,0.90811580458234,0.0,0.0,0.0,0.0,0.0214215607654744,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",10.0,2.5813119264746045,0.0,2.0,643,1,0.0219,0.219,101021acsiecr5b01422,1,2015,282.2,0.5157041230938302,0.051570412309383,0.0169826342590849,0.1161366860883381,0.6776352177452929,0,P-V-Ti,117.72427952089822,5.0,378.3066867189612,0.0,-0.3777318645349009,0.6831455968349055,0.00936253952290562
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704626346521857,0.0,0.0,0.0,0.90811580458234,0.0,0.0,0.0,0.0,0.0214215607654744,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",10.0,2.5813119264746045,0.0,2.0,643,1,0.0219,0.219,101016jcej201604107,1,2016,321.0,0.5157041230938302,0.051570412309383,0.0169826342590849,0.1161366860883381,0.6776352177452929,0,P-V-Ti,117.72427952089822,5.0,378.3066867189612,0.0,-0.3777318645349009,0.706757203541398,0.007583634248952505
0.8999853638612879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050007318069356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050007318069356,0.0,0.0,0.0,MAc,TRX,None,5.0,0.0,0.21,1.0,623,1,0.07728,0.3864,101021acsiecr6b03079,1,2016,210.3,0.2092174864874706,0.0418434972974941,0.0,0.0,0.970099641345104,0,P-V-Ti,121.9001317252484,3.2000292722774244,60.19869092181565,0.3600468347870122,-0.2862444106931467,0.7514233918322536,0.011573879451588645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.0,0.0,0.0,MAc,TRX,None,5.0,0.0,0.21,2.0,643,1,0.14934,0.7467,101021acsiecr7b01212,1,2017,33.6,0.4184349729749413,0.0836869945949882,0.0,0.0,3.749344731844664,0,P-V-Ti,127.90909090909092,5.0,524.6280991735537,0.0,-0.2177707014976195,3.881531674856795,0.0008344341380587696
