,Cluster_composition,Cluster_title,Counts
0,['P' 'V' 'Ti' 'Si' 'Nb'],P-V-Ti,149
1,['Si' 'Cs' 'P' 'Zr' 'B'],Si-Cs-P,98
2,['Al' 'Si' 'Cs' 'Ba' 'P'],Al-Si-Cs,128
