Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title,STY0,n,covalent_radius_cordero,en_pauling,electron_affinity,electrophilicity_,lattice_constant,proton_affinity,vdw_radius
0.0,0.0,0.0,0.0260288539352753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109951954895963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7593030436487969,0.1047161475199648,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,1.3333333333333333,633,1,0.1463668799999999,0.3659171999999999,101039d2ra06960a,V-Ti-Bi,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.2438216470822687,1,P-V-Ti,2.091129290978669,0.0079647540897832,144.6863437429225,1.759986876010425,0.45625710832835953,1.1560677106873392,4.18466680979281,800.3781243191863,202.5072858805257
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.2290287999999999,0.572572,101039d3nj00221g,VPO-MCF,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.1674203658577278,1,P-V-Ti,1.0424087414205696,0.0082351558996356,121.36823156187278,1.9054569639799332,0.9782201205758425,1.4962038533283848,5.247191706672243,785.7591082284289,200.9960094331105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015775924799303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.245156,0.6128900000000002,101039d3nj00221g,UnModifiedV-Ti,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.249624969489502,1,P-V-Ti,1.1632774503176886,0.0026650402186643,144.4175729128198,1.7321694071558495,0.36701686359070135,1.1208385756389172,4.065770856403465,806.9153772106539,201.9099358600682
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022903000348021,0.0,0.0,0.0,0.0938969584445408,0.0,0.0,0.0,0.7063934081541788,0.0974193333664782,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.24657582,0.61643955,101039d3nj00221g,AllylSi-V-Ti,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.2568621675355645,1,P-V-Ti,1.254373042563325,0.0010673445633726,137.31474876625424,1.7695931261201814,0.5814447211457948,1.2398992850754578,4.363110380121321,812.0316727066001,203.4316599550002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022903000348021,0.0,0.0,0.0,0.0938969584445408,0.0,0.0,0.0,0.7063934081541788,0.0974193333664782,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.3349959999999999,0.8374899999999998,101039d3nj00221g,Glycosidil-Si-V-Ti,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.7075632098708782,1,P-V-Ti,1.649916546111319,9.136624726720864e-05,137.31474876625424,1.7695931261201814,0.5814447211457948,1.2398992850754578,4.363110380121321,812.0316727066001,203.4316599550002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.1,2.6666666666666665,633,1,0.175812,0.43953,102139ssrn4741336,1,0.5110039573347626,0.204401582933905,0.0673114130660721,0.460312830751505,5.390437664816356,1,P-V-Ti,6.374510731002276,3.1167028175510476e-17,121.36823156187278,1.9054569639799332,0.9782201205758425,1.4962038533283848,5.247191706672243,785.7591082284289,200.9960094331105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704626346521857,0.0,0.0,0.0,0.90811580458234,0.0,0.0,0.0,0.0,0.0214215607654744,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,10.0,0.0,0.0,2.0,643,1,0.0219,0.219,101021acsiecr5b01422,1,0.5157041230938302,0.051570412309383,0.0169826342590849,0.1161366860883381,0.6776352177452929,1,P-V-Ti,0.692987449396612,0.0124041803829177,117.58876358087515,1.926241520934093,1.065653716519727,1.5536676653805441,5.443988860511745,786.5083348480648,201.66843027489935
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704626346521857,0.0,0.0,0.0,0.90811580458234,0.0,0.0,0.0,0.0,0.0214215607654744,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,10.0,0.0,0.0,2.0,643,1,0.0219,0.219,101016jcej201604107,1,0.5157041230938302,0.051570412309383,0.0169826342590849,0.1161366860883381,0.6776352177452929,1,P-V-Ti,0.7273573530732395,0.0102926199957582,117.58876358087515,1.926241520934093,1.065653716519727,1.5536676653805441,5.443988860511745,786.5083348480648,201.66843027489935
0.8999853638612879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050007318069356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050007318069356,0.0,0.0,0.0,MAc,TRX,,5.0,0.0,0.21,1.0,623,1,0.07728,0.3864,101021acsiecr6b03079,1,0.2092174864874706,0.0418434972974941,0.0,0.0,0.970099641345104,1,P-V-Ti,0.7825033949965023,0.0166112047590107,125.10967332661887,1.746989110887296,0.525513864328942,1.116200974997301,4.527178736257415,757.8059109249532,188.337988511431
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.0,0.0,0.0,MAc,TRX,,5.0,0.0,0.21,2.0,643,1,0.14934,0.7467,101021acsiecr7b01212,1,0.4184349729749413,0.0836869945949882,0.0,0.0,3.749344731844664,1,P-V-Ti,3.915573904287122,0.0010046291755747,129.37114739962163,1.9176555968741713,0.6388330247437403,1.3484806980201558,5.151733441121092,739.9201931554782,193.1308908649953
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,MAc,TRX,,5.0,0.0,0.0,1.6666666666666667,643,1,0.061,0.305,101016jcattod201806019,VPO,0.3486958108124511,0.0697391621624902,0.0,0.0,1.2762266675735712,1,P-V-Ti,1.4940911191337234,0.0980889485966064,129.8316769387775,1.912049150310535,0.6366144036658334,1.3429030071422963,5.110185667479857,742.2488707817313,193.40120168145634
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4830917874396134,0.0,0.0,0.0096618357487922,MAc,TRX,,5.0,0.0,0.0,1.6666666666666667,643,1,0.0802,0.401,101016jcattod201806019,VPO-Zr,0.3486958108124511,0.0697391621624902,0.0,0.0,1.677924241629515,1,P-V-Ti,1.8954547489082163,0.0471394843712182,135.8421399351691,1.8345969749158269,0.6085883448275464,1.2977568257219128,4.85999293029508,745.9635220485852,197.33985757953187
