iteration,r2_score,reg__colsample_bytree,reg__gamma,reg__learning_rate,reg__max_depth,reg__min_child_weight,reg__n_estimators,reg__reg_alpha,reg__reg_lambda,reg__subsample
54,0.6782326219800764,0.5,6.774140559989491,0.0755742513353958,7,1,100,10.0,10.0,0.5
55,0.7249087823382554,0.5,4.063820669252777,0.01877703864292983,8,1,1000,10.0,10.0,0.5
56,0.7626671017974369,0.5,0.6865892428514399,0.0770482025178077,7,1,762,10.0,10.0,0.5
57,0.5663884929576913,0.5,4.453883624717694,0.021395349508086095,8,1,100,10.0,10.0,0.5
58,0.7552550056039652,0.5415976036152395,0.0,0.09212159101981689,8,1,501,10.0,2.348308530371526,0.5
59,0.6548197863739693,1.0,0.0,1.0,8,1,921,10.0,0.0,0.5
60,0.7222087179583857,0.5,10.0,0.04932396830466598,8,1,100,0.0,0.0,0.5
61,0.7114234289741292,0.5362842893135377,0.0,0.07215615846992102,2,1,100,0.0,0.0,0.5
62,0.7397140446660032,0.5,4.2031430095778815,0.04774646086994067,8,1,585,10.0,0.0,0.5
63,0.7640806667198675,0.5,0.0,0.0636572797843262,8,1,753,10.0,6.174869913106419,0.5
64,0.7405445880740327,0.5,0.0,0.15501113932805977,8,1,1000,10.0,10.0,1.0
65,0.7170838494306897,0.5,10.0,0.05584753303728551,8,1,1000,10.0,10.0,0.5
66,0.7722766986533122,0.5,0.0,0.07590519203019674,8,1,1000,10.0,10.0,0.5
67,0.7045580514726191,0.5,10.0,0.03584783453492881,8,1,1000,0.0,10.0,1.0
68,0.7226806001104392,1.0,0.0,1.0,8,10,714,10.0,10.0,1.0
69,0.759773265651612,0.5,0.0,0.013692877228020168,8,1,1000,10.0,0.0,0.5
70,0.7488150316427322,0.5,5.217214868901321,0.008074901239791151,8,1,1000,0.0,0.0,0.5
71,0.6695082652383519,0.5,10.0,0.004922448432099622,2,1,1000,10.0,0.0,0.5
72,0.7419892126430708,0.5,3.2541809230220586,0.01812646106083249,8,1,1000,0.0,0.0,0.5
73,0.762014832029067,0.5,0.0,0.007252426909910456,8,1,1000,0.0,0.0,0.5
74,0.7753398732441136,0.5,0.0,0.0626580679009317,8,1,1000,10.0,10.0,0.5
75,0.7380605011117224,0.5,0.0,0.006174674324808259,8,1,1000,10.0,0.0,1.0
76,0.6599712477210515,0.5,1.3300245753845419,0.006263120153085398,2,10,1000,10.0,0.0,0.5
77,0.6812604133989923,1.0,10.0,0.010019189577343726,8,1,705,0.0,0.0,0.5
78,0.7579472546621553,0.7017157113683301,0.0,0.18287782649408757,8,1,698,10.0,4.6429537606479325,0.5
79,0.7397431405870175,0.7980606458823143,0.0,0.10672799451096406,8,10,1000,10.0,10.0,0.5
80,0.743820873316191,0.6866846744484655,0.0,0.04091186178831755,8,10,271,0.0,0.0,0.5
81,0.7661788081616538,1.0,0.0,0.11146832639960717,8,1,607,10.0,10.0,0.5
82,0.7772854555907831,0.8789407611826627,0.0,0.14347977819969496,8,1,100,0.0,10.0,0.5
83,0.7498979008777316,1.0,0.0,0.07369755843883947,8,1,276,0.0,10.0,0.5
84,0.7564905100007439,0.6753537612092219,0.0,0.03273811070011426,8,1,427,10.0,0.0,0.5
85,0.6780058975619463,1.0,10.0,1.0,8,1,100,0.0,10.0,1.0
86,0.7464779453291056,0.5,0.0,0.14043960828974134,8,10,100,0.0,10.0,0.5
