iteration,r2_score,reg__colsample_bylevel,reg__colsample_bytree,reg__gamma,reg__learning_rate,reg__max_depth,reg__min_child_weight,reg__n_estimators,reg__reg_alpha,reg__reg_lambda,reg__subsample
56,0.7246404049916365,0.9873462671937328,0.6,0.5,0.08071050718785286,5,10,100,3.0,10.0,0.95
57,0.7338621988151085,1.0,0.95,0.5,0.29999999999999993,5,10,100,3.0,3.0,0.8683946743707011
58,0.7142261313808487,1.0,0.95,0.5,0.056227162873248034,5,10,100,3.0,10.0,0.8092985429824756
59,0.7379123261611542,1.0,0.6,0.5,0.15054121474423665,5,10,100,3.0,10.0,0.7515890299322671
60,0.7452613289852128,0.6,0.6,0.5,0.15202440511247237,5,10,100,3.0,3.0,0.7259863441369916
61,0.7388238692283207,1.0,0.6,0.5,0.14721339350919496,5,10,100,3.0,3.0,0.7186814926890033
62,0.7324473583822518,0.6,0.6,0.5,0.15929617409680388,5,13,100,3.0,10.0,0.7932573180640508
63,0.7168948300763507,0.6,0.6,0.5,0.16506238170520304,3,10,50,3.0,3.0,0.6
64,0.6627915614601556,0.8243932295210656,0.6896908436513877,0.5764587316228963,0.022188995436393265,3,10,99,3.4550366481625336,3.8732567874302597,0.6178005305704293
65,0.7258806041712008,0.7952293518497294,0.7155304218581209,1.170590013865672,0.19700207669481143,3,20,53,3.653040053822023,5.522827516226636,0.9445052786263145
66,0.740614168772807,0.6,0.95,0.5,0.29999999999999993,5,10,100,3.0,3.0,0.6
67,0.7107685773791694,0.8610307286137873,0.6199488713796995,0.6350737584408134,0.06871280308820345,3,10,96,3.263637813538836,8.121593711842596,0.605108226869426
68,0.7422403868818016,0.6,0.95,0.5,0.29999999999999993,5,10,100,3.0,10.0,0.6
69,0.7217807204668373,0.6,0.95,0.5,0.29999999999999993,5,10,100,3.0,3.0,0.6832044420324147
70,0.7392550035203733,1.0,0.6,0.5,0.19305844557299726,5,10,100,3.0,3.0,0.8174937582525407
71,0.7392183477699421,1.0,0.6,0.5,0.1298456601089909,5,10,100,3.0,3.0,0.7142636156746434
72,0.7326983538851634,1.0,0.6,2.0,0.2296440059600621,5,10,100,3.0,9.553075993155144,0.6
73,0.7420200896931797,1.0,0.6178325282268005,0.5,0.15513678876964998,3,10,100,3.0,10.0,0.7656592658874979
74,0.739189223029934,0.6,0.6,0.5,0.14316547797955456,5,10,100,3.0,10.0,0.7244349414863365
75,0.738054434862719,0.6,0.6,0.5,0.21469310671611258,5,10,100,3.0,10.0,0.8190625886639442
76,0.708204226401766,0.7924717343061801,0.8368318774717409,1.6819413856436307,0.21385791392209438,3,20,99,3.090318999688245,3.5950516143079128,0.8223283825450733
77,0.7325880517509746,1.0,0.95,0.5,0.15880614741868324,5,10,100,3.0,10.0,0.7206934932782099
78,0.7418236764183347,0.6,0.6,0.5,0.13761532685168662,3,10,100,3.0,3.0,0.7584097144579266
79,0.7420881989538411,0.6,0.6,0.5,0.14904135787600523,5,10,100,3.0,3.0,0.7830690969749412
80,0.7085588042411752,0.9977872413480828,0.9322846744977387,0.6863790132432928,0.08748210632448722,5,19,81,4.03740596517774,6.903918509350884,0.9483159459447027
81,0.745078534759166,1.0,0.6,0.5,0.1437451217849917,5,10,100,3.0,3.0,0.7967529106545818
82,0.7511353831351113,0.6,0.6,0.5,0.12924582257375394,5,10,100,3.0,3.0,0.7915453249747524
83,0.7361523472965381,0.6,0.6132738996632406,0.5,0.11146595616436719,5,10,100,3.0,3.389864129026781,0.8012296011834737
84,0.737049682696619,0.6,0.6,0.5,0.1470054161760685,5,10,100,3.0,10.0,0.8127751589987753
85,0.7506956181301676,0.6,0.6,0.5,0.14294817382802255,5,10,100,3.0,3.0,0.7894952692126176
86,0.7422441183032524,1.0,0.6,0.5,0.14436184374216368,5,10,100,3.0,3.0,0.8059240714737889
87,0.7491012126434287,0.6,0.6,0.5,0.136659923528632,3,10,100,3.0,3.2188252576045775,0.779026324066449
88,0.7600524440223424,0.6,0.6,0.5,0.14306868996475647,4,10,100,3.0,3.0,0.7949968736483058
89,0.746008482488325,0.6,0.6,0.5,0.13960153886658064,3,10,100,3.0,3.0,0.7970824536926665
90,0.7457272066542675,0.6,0.6,0.5,0.13968520848954538,3,10,100,3.0,3.0,0.7973298104012375
91,0.7414005081126456,0.817722465456531,0.6,0.5,0.1387827271187558,3,10,100,3.0,3.0,0.8002996839838261
92,0.7500247418216877,0.6,0.6,0.5,0.14579404918570402,5,10,100,3.0,3.0,0.806433044627494
