iteration,r2_score,reg__colsample_bylevel,reg__colsample_bytree,reg__gamma,reg__learning_rate,reg__max_depth,reg__min_child_weight,reg__n_estimators,reg__reg_alpha,reg__reg_lambda,reg__subsample
43,0.5995768642490977,0.6,0.95,0.5,0.29999999999999993,5,16,50,3.0,10.0,0.95
44,0.5361124983871439,0.7203825265889146,0.8109036163946567,0.5066784350005209,0.022867193712372048,3,10,72,5.595660240366099,6.284321166133922,0.6
45,0.5635111760091331,0.7579834666193284,0.95,1.1609769548790658,0.29999999999999993,5,10,92,3.0,7.672282810524523,0.7577687690386827
46,0.606786833849696,0.6,0.634409517129785,0.5,0.1848943148749191,3,16,100,7.77236062907669,10.0,0.95
47,0.5948348902693562,1.0,0.95,0.5,0.20853238896261297,3,17,100,3.0,6.622168131615929,0.95
48,0.5873025634771276,0.6,0.6,0.5,0.22779720100008755,5,16,100,10.0,10.0,0.95
49,0.5781470908925919,1.0,0.6,0.5,0.15981626392050188,3,20,50,3.0,10.0,0.95
50,0.37965180526104236,0.9441293963753534,0.7127539461483933,2.0,0.01,4,10,60,6.333762641936235,4.87318334896044,0.95
51,0.5842589631479231,1.0,0.7090413931402274,0.5,0.19200695027139905,5,11,100,10.0,10.0,0.95
52,0.603419695476269,0.6,0.947812399446307,1.780784531225423,0.2326611128142417,3,10,100,3.0,5.1210878044814185,0.95
53,0.5818603990967515,0.6,0.7876812986434063,2.0,0.0655346498177603,3,12,100,3.0,4.444861766259963,0.95
54,0.5915019663749577,0.6,0.6,0.5,0.29999999999999993,3,20,100,3.0,10.0,0.95
55,0.584917025976085,0.6,0.6915200846673575,2.0,0.15692448928291497,3,10,100,3.0,3.0,0.95
56,0.577231281771466,0.6,0.95,0.5,0.04330184779492685,4,10,82,3.0,3.1167937293930494,0.79835327722576
57,0.5965795634358299,0.6,0.95,0.5,0.29999999999999993,3,10,100,3.0,3.0,0.95
58,0.5740264895626581,0.6,0.6085959431668607,2.0,0.02830328889771994,3,20,100,3.0,7.1398388977774685,0.95
59,0.6059400402711593,0.6131160530563481,0.6359146837028806,0.5290925392299143,0.21802914336444118,5,14,80,3.7145832912729357,5.169349549710651,0.9455065976861183
60,0.5480473448634812,0.8790719715073569,0.9255703980256897,1.8112537373793862,0.07675251048033667,3,15,51,3.2276227314484753,9.179289548630791,0.6080190695717704
61,0.6028666887610464,0.6,0.95,0.5,0.23658877689335722,4,15,100,3.0,3.0,0.95
62,0.6089005520291129,0.6,0.95,0.5,0.29999999999999993,5,10,73,3.0,10.0,0.95
63,0.6102467292969912,0.6,0.6,0.5,0.29999999999999993,5,20,75,3.0,3.0,0.95
64,0.5468605448739472,1.0,0.604078502861128,0.5,0.17580631603465502,3,17,100,10.0,3.274604378339533,0.6
65,0.5777890459901187,1.0,0.6950813477680583,2.0,0.12630429520787392,3,10,100,3.0,7.5821451992759386,0.6828515590723134
66,0.5931904261454504,0.6,0.6,0.5,0.29999999999999993,3,10,50,3.0,3.0,0.95
67,0.5764308636121365,1.0,0.6674298777817682,2.0,0.06413930180860782,3,11,99,10.0,9.591958934871762,0.95
68,0.596308363692349,0.6,0.95,0.5,0.2313211556718018,5,20,100,3.0,10.0,0.95
69,0.585214218217355,0.6,0.95,0.5,0.29999999999999993,5,15,100,3.0,3.0,0.95
70,0.5520238099604378,0.9971567770163376,0.8212220484519749,1.9471052207685324,0.04078563069909844,4,19,90,4.148761799313342,5.120334499029689,0.8403177237132617
71,0.5832792782822649,0.6808412826838187,0.6134862606715719,1.0429811322022882,0.21328364245911452,4,10,70,8.559013723808132,9.39295430615094,0.6057036795024068
72,0.6001552799895731,0.6,0.95,0.5,0.21651225184807976,4,16,100,3.0,10.0,0.95
73,0.6166295469034748,0.6,0.95,0.5,0.24109560246406703,5,10,100,3.0,3.0,0.95
74,0.6045007040851094,0.9468590460828981,0.8965596934782757,0.623463429860505,0.107481268437122,4,14,57,3.020927215552245,3.997369779869696,0.9498245042230625
75,0.5941236650915166,0.6,0.6763991782125188,0.5,0.148329288173081,5,15,50,3.0,3.0,0.95
76,0.5844618007826718,0.6139739639664942,0.7428156911827862,0.8112651098727799,0.12557774755842457,4,20,59,8.071941616384414,7.673409557408655,0.9490256206467182
77,0.5973288545594928,0.6,0.95,0.5,0.21953858371553947,5,10,100,3.0,9.699474187851191,0.95
78,0.5867299480998097,0.6,0.95,0.5,0.23123075061033216,5,10,59,3.0,3.0,0.95
79,0.5715844841197595,0.8010220926931046,0.8688487134498456,0.7187054831269383,0.021738120514158174,4,20,87,7.34519224599,3.1759478584745238,0.9410324711926483
80,0.5699536993496314,0.9902974244949834,0.8288757851078288,1.7752783886311767,0.04921809195573464,4,10,73,4.945155573507622,5.896821093709864,0.6024091978371927
81,0.6045248233932057,0.6,0.95,0.5,0.1742632410912081,5,15,100,3.0,3.0,0.95
82,0.6107453489166519,0.6,0.95,0.5,0.16204289782476733,5,16,100,3.0,3.0,0.95
83,0.6012923062694538,0.6,0.95,0.5,0.14562051278834523,5,15,100,3.0,4.816172755955291,0.95
84,0.5946440394093879,0.6,0.95,0.5,0.17221531126408596,3,16,100,3.0,3.0,0.95
85,0.5987719869032397,0.6,0.95,0.5,0.21525356735925608,5,17,100,3.0,3.0,0.95
86,0.5844162728259314,0.628940067917978,0.8153008091693335,1.028550998819345,0.09667148294420097,3,10,81,4.558457868920065,9.111309793115016,0.9345885925531673
87,0.6109965131130143,0.6,0.95,0.5,0.12810315791062668,5,15,100,3.0,3.0,0.95
88,0.5138285076357804,0.7080642483534069,0.8452999196868511,1.8899866158293133,0.020058160984023455,4,20,83,4.711114544193398,3.485752818305426,0.602475217446958
89,0.6060191431226473,0.6,0.9204942013279184,0.5,0.12468200071405307,5,15,100,3.0,10.0,0.95
90,0.6109871450545283,0.6,0.95,0.5,0.11698756202345996,5,15,100,3.0,3.0,0.95
91,0.5886568503900882,0.8084503086664506,0.8482025495393725,0.5666684133917236,0.08869681819677504,4,16,81,3.194110134620095,4.72247357068157,0.9493312041057165
92,0.6221890357898202,0.6,0.95,0.5,0.13064295234927623,5,15,100,3.0,10.0,0.95
93,0.6038914531401256,0.6,0.6984964888228307,0.5,0.12581611891736802,5,15,100,3.0,7.4765026922161715,0.95
94,0.5639886732183925,0.9944733483711082,0.6472549864928834,1.199045058030755,0.016730812121096273,4,20,100,7.03061608043042,7.139382587957113,0.9491067817894681
95,0.6161010615060541,0.6,0.95,0.5,0.12990603182755875,5,15,100,3.0,10.0,0.95
96,0.6043478637271461,0.6,0.95,0.5,0.12430675268961648,3,15,100,3.0,10.0,0.95
97,0.5757093234542319,0.8347017469220936,0.8157713678352312,0.7125895262096287,0.035301665561429746,5,16,97,3.3724170936590503,9.04097694734578,0.9321684158514048
98,0.5625255090762525,0.968386900449662,0.6989395880402346,1.9824151653352853,0.29980342405102006,4,10,81,5.212154706080623,3.001315372847959,0.6035888090952412
99,0.6030847932441863,0.6,0.6,0.5,0.12974059548941447,5,16,100,3.0,10.0,0.95
100,0.612054506506043,0.6,0.95,0.5,0.12680457525668765,5,14,100,3.0,10.0,0.95
101,0.613069578216792,0.6,0.95,0.5,0.12506282606589145,5,14,100,3.0,10.0,0.95
102,0.6070002857447176,0.6,0.95,0.5,0.12305906998968019,5,14,100,3.0,10.0,0.95
103,0.5960767311356202,0.7246144555605951,0.9142369849070784,0.9902574328642346,0.08706862075566686,5,10,96,4.237626081156528,9.87095875045711,0.9465137520059672
104,0.6039431274383738,0.6,0.95,0.5,0.116091647697684,5,13,100,3.0,10.0,0.95
105,0.6114270629378111,0.6,0.95,0.5,0.1312436100168704,5,16,100,3.0,10.0,0.95
106,0.5981490772358378,0.6,0.95,0.5,0.11932640978453365,5,16,100,3.0,10.0,0.95
107,0.6057016464467277,0.6,0.95,0.5,0.14032976508801168,5,14,100,3.0,9.527183077443102,0.95
108,0.6069361319239177,0.6,0.95,0.5,0.1318116502819803,5,14,100,3.0,10.0,0.95
109,0.620803190266823,1.0,0.95,0.5,0.12561136332236594,5,14,100,3.0,10.0,0.95
110,0.601675992705975,0.6,0.8703783031144805,0.5,0.1344179170553507,5,13,100,3.0,8.866080458922774,0.95
111,0.5737931038363903,0.9767017409321047,0.612134150393733,0.6102029876601445,0.03792555354289992,3,10,95,4.92821393650886,4.906750475736028,0.602807277706929
112,0.31264550430096166,0.6467460854039534,0.658965135258558,1.7242176981600046,0.011072384434296912,5,20,60,9.497868330471507,7.995697100186206,0.9425309172889211
113,0.5812048412413797,1.0,0.6539122334453707,0.5,0.021221143024726743,4,10,100,10.0,3.147954266657847,0.95
114,0.582555899184592,1.0,0.95,0.5,0.06634645902783762,5,10,50,3.0,3.0,0.95
115,0.5903893699366412,1.0,0.8659020272824105,0.5,0.0352830386578849,3,10,50,3.0,3.0,0.95
116,0.6104214239819796,0.6,0.95,0.5,0.29999999999999993,5,20,67,3.0,10.0,0.95
117,0.6042603463794822,0.6,0.95,0.5,0.29999999999999993,5,16,73,3.0,10.0,0.95
118,0.6043486968769349,1.0,0.8603435598460214,0.5,0.125411429890786,5,20,100,3.0,10.0,0.95
119,0.6160798903025118,0.6,0.95,0.5,0.29999999999999993,5,20,70,3.0,10.0,0.95
120,0.5978423640187902,0.6,0.6,0.5,0.29999999999999993,5,20,64,3.0,9.171417548865126,0.95
121,0.5968995254919065,0.6,0.9368590385876145,0.5,0.2434107157264932,5,20,75,3.0,4.822678584473147,0.95
122,0.6011958172343557,0.6,0.95,0.5,0.29999999999999993,5,16,74,3.0,10.0,0.95
123,0.622502499129966,1.0,0.8750863778239412,0.5,0.11513247082601921,5,16,100,3.0,3.2200372260002394,0.95
124,0.6135695098549124,1.0,0.95,0.5,0.10904438708766054,5,15,100,3.0,3.0,0.95
125,0.6266396273215612,1.0,0.8908996348375429,0.5,0.11048820121119682,5,15,100,3.0,3.9710091963532332,0.95
126,0.6115646035632331,1.0,0.95,0.5,0.10738672925695163,5,14,100,3.0,3.0,0.95
127,0.6065663306096587,1.0,0.95,0.5,0.1140789244998429,5,15,100,3.0,3.0,0.95
128,0.5702774584993708,1.0,0.8240629910276044,0.5,0.138528071659837,5,10,50,3.0,9.727080005302522,0.6
129,0.5965228708389907,1.0,0.656663972097302,0.5,0.11101403217486895,5,16,100,3.0,10.0,0.95
130,0.6102035934851001,1.0,0.95,0.5,0.1206151864709335,3,16,100,3.0,3.0,0.95
131,0.6133560429223763,1.0,0.95,0.5,0.11352946425962791,5,14,100,3.0,3.0,0.95
132,0.6223589913259369,1.0,0.95,0.5,0.1197126178473981,5,16,100,3.0,3.0,0.95
133,0.5747689002923402,1.0,0.95,2.0,0.022916085343302237,3,10,100,3.0,3.26250587965751,0.7296377194841691
134,0.6177683189026678,1.0,0.95,0.5,0.12221287654578158,5,17,100,3.0,3.1425925031744084,0.95
135,0.6177784684090648,1.0,0.95,0.5,0.12670358741677737,5,17,100,3.0,3.0,0.95
136,0.6192225763301791,1.0,0.95,0.5,0.12957047280542405,5,16,89,3.0,3.0,0.95
137,0.6201167835200608,1.0,0.95,0.5,0.13144947400109028,5,17,89,3.0,5.0901981868179025,0.95
138,0.6182311970064228,1.0,0.95,0.5,0.1308986456122771,5,16,86,3.0,3.0,0.95
139,0.6197634185063536,1.0,0.95,0.5,0.13158347667889878,5,16,86,3.0,3.0,0.95
140,0.6216773467089319,1.0,0.95,0.5,0.13125551928149007,5,16,85,3.0,3.0,0.95
141,0.6243994336899664,1.0,0.95,0.5,0.13038228431776883,5,15,85,3.0,3.501051649069862,0.95
142,0.6197336924241944,1.0,0.95,0.5,0.13197220900580842,5,15,83,3.0,10.0,0.95
143,0.6246430476179736,1.0,0.95,0.5,0.1321749745630849,5,16,83,3.0,4.760743098035374,0.95
144,0.6261972377385493,1.0,0.95,0.5,0.135912128722948,5,16,80,3.0,3.0,0.95
145,0.6251176301498919,1.0,0.95,0.5,0.13356084463411141,5,16,81,3.0,9.69017949560493,0.95
146,0.6147589909400151,1.0,0.95,0.5,0.13291281292890642,3,16,81,3.0,9.410101667276637,0.95
147,0.6256763890289784,1.0,0.95,0.5,0.13038984682299332,5,15,81,3.0,3.0,0.95
148,0.6208222984636053,1.0,0.95,0.5,0.13585249072948627,5,16,81,3.0,3.2358697639366536,0.95
