Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title,av_covalent_radius_cordero,av_nvalence_,var_covalent_radius_cordero,var_nvalence_,STY0,n
0.0,0.0,0.0,0.0260288539352753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109951954895963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7593030436487969,0.1047161475199648,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,1.3333333333333333,633,1,0.1463668799999999,0.3659171999999999,101039d2ra06960a,V-Ti-Bi,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.2438216470822687,1,P-V-Si,144.68634374292247,4.596040058362389,433.0778370977575,0.2407763071897489,2.0911292877424774,0.007964754034120532
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.2290287999999999,0.572572,101039d3nj00221g,VPO-MCF,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.1674203658577278,1,P-V-Si,121.36823156187278,4.545696397993304,378.1695684934254,0.2479118392104376,1.042408740230519,0.008235155850588923
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015775924799303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.245156,0.6128900000000002,101039d3nj00221g,UnModifiedV-Ti,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.249624969489502,1,P-V-Si,144.4175729128198,4.516516183400643,500.5060872618874,0.2497272156858764,1.1632774496110088,0.0026650402097385265
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022903000348021,0.0,0.0,0.0,0.0938969584445408,0.0,0.0,0.0,0.7063934081541788,0.0974193333664782,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.24657582,0.61643955,101039d3nj00221g,AllylSi-V-Ti,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.2568621675355645,1,P-V-Si,137.31474876625424,4.418378746881043,580.5778089989358,0.2433379710392911,1.254373042002042,0.0010673445599929789
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022903000348021,0.0,0.0,0.0,0.0938969584445408,0.0,0.0,0.0,0.7063934081541788,0.0974193333664782,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.3349959999999999,0.8374899999999998,101039d3nj00221g,Glycosidil-Si-V-Ti,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.7075632098708782,1,P-V-Si,137.31474876625424,4.418378746881043,580.5778089989358,0.2433379710392911,1.6499165459713139,9.136624686175298e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.1,2.6666666666666665,633,1,0.175812,0.43953,102139ssrn4741336,1,0.5110039573347626,0.204401582933905,0.0673114130660721,0.460312830751505,5.390437664816356,1,P-V-Si,121.36823156187278,4.545696397993304,378.1695684934254,0.2479118392104376,6.374510731002276,3.1167028181568934e-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704626346521857,0.0,0.0,0.0,0.90811580458234,0.0,0.0,0.0,0.0,0.0214215607654744,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,10.0,0.0,0.0,2.0,643,1,0.0219,0.219,101021acsiecr5b01422,1,0.5157041230938302,0.051570412309383,0.0169826342590849,0.1161366860883381,0.6776352177452929,1,P-V-Si,117.58876358087517,4.441154735879133,281.07520617628376,0.2465372348905454,0.6929874492798217,0.012404180374757667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704626346521857,0.0,0.0,0.0,0.90811580458234,0.0,0.0,0.0,0.0,0.0214215607654744,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,10.0,0.0,0.0,2.0,643,1,0.0219,0.219,101016jcej201604107,1,0.5157041230938302,0.051570412309383,0.0169826342590849,0.1161366860883381,0.6776352177452929,1,P-V-Si,117.58876358087517,4.441154735879133,281.07520617628376,0.2465372348905454,0.7273573538743036,0.010292620042832714
0.8999853638612879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050007318069356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050007318069356,0.0,0.0,0.0,MAc,TRX,,5.0,0.0,0.21,1.0,623,1,0.07728,0.3864,101021acsiecr6b03079,1,0.2092174864874706,0.0418434972974941,0.0,0.0,0.970099641345104,1,P-V-Si,125.10967332661887,3.9132607392486407,261.6551106193128,0.9924763006443076,0.7825033948570872,0.01661120474592127
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.0,0.0,0.0,MAc,TRX,,5.0,0.0,0.21,2.0,643,1,0.14934,0.7467,101021acsiecr7b01212,1,0.4184349729749413,0.0836869945949882,0.0,0.0,3.749344731844664,1,P-V-Si,129.37114739962163,5.0,528.6045444069974,0.0,3.9155739042271707,0.0010046291754645207
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,MAc,TRX,,5.0,0.0,0.0,1.6666666666666667,643,1,0.061,0.305,101016jcattod201806019,VPO,0.3486958108124511,0.0697391621624902,0.0,0.0,1.2762266675735712,1,P-V-Si,129.8316769387775,5.0,528.9716673470607,0.0,1.4940911260823002,0.09808895011751287
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4830917874396134,0.0,0.0,0.0096618357487922,MAc,TRX,,5.0,0.0,0.0,1.6666666666666667,643,1,0.0802,0.401,101016jcattod201806019,VPO-Zr,0.3486958108124511,0.0697391621624902,0.0,0.0,1.677924241629515,1,P-V-Si,135.8421399351691,4.866931898528868,693.9392807787153,0.1153609818420002,1.8954547465183842,0.04713948410687941
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4830917874396134,0.0,0.0,0.0096618357487922,MAc,TRX,,5.0,0.0,0.0,2.0,653,1,0.044352618025751,0.2217630901287553,101021acsiecr7b03521,1,0.4184349729749413,0.0836869945949882,0.0,0.0,1.1135211914983825,1,P-V-Si,135.8421399351691,4.866931898528868,693.9392807787153,0.1153609818420002,1.3081386842288978,0.026706489614164955
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080777190376295,0.0,0.0,0.0,0.8949896525108159,0.0,0.0,0.0,0.0,0.0,0.0969326284515544,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,2.295081967213115,673,1,0.1413253333333333,0.4239759999999999,101002jctb6360,1,0.6687244928800516,0.2229081642933505,0.0,0.0,5.670462711866255,1,P-V-Si,125.3464767982142,4.722995683665482,556.3499672976066,0.784627485503044,6.865721133157033,0.27157556652362075
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.0,0.3263888888888889,0.0,0.0,0.0,0.0,0.0,0.3263888888888889,0.0,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.21,5.0,633,1,0.1277268,0.319317,101039d2cc06618a,1,0.9581324200026798,0.3832529680010719,0.1262088994988852,0.8630865576590718,7.342751278991897,1,P-V-Si,123.89448841475031,5.0,646.4232398448995,0.662528957441189,7.129480258217917,0.05206506311861638
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4126431684398502,0.0,0.2475859010639101,0.0,0.0,0.0,0.0,0.0,0.3397709304962398,0.0,0.0,0.0,0.0,HAc,MeOH,,0.5,0.0,0.21,1.5,653,1,0.1832424860194942,0.0916212430097471,101016jjcat2024115612,1,0.1807606985491203,0.3615213970982406,0.0,0.0,1.987382386605672,1,P-V-Si,124.23596383953314,4.969494108910039,650.1160002390172,0.6420910311797585,1.659795027192784,0.01771638564417303
