Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Year,SSA_m2g,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",3.0,2.5813119264746054,0.045,0.44,633,1,0.2795,0.8385,10.1038/s41598-019-53180-8,1,2019,87.0,0.0894192160856169,0.0298064053618723,0.009815536819871554,0.06712409282606603,1.4995602537557955
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",3.0,2.5813119264746054,0.0225,0.44,633,1,0.2475,0.7424999999999999,10.1038/s41598-019-53180-8,,2019,87.0,0.0894192160856169,0.0298064053618723,0.009815536819871554,0.06712409282606603,1.327875358871411
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",3.0,2.581311926474605,0.045,1.32,633,1,0.1975,0.5925,10.1038/s41598-019-53180-8,,2019,87.0,0.2682576482568507,0.08941921608561691,0.029446610459614664,0.2013722784781981,3.1788531318436815
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",3.0,2.5813119264746054,0.045,0.44,633,1,0.20376999999999998,0.6113099999999999,10.1038/s41598-019-53180-8,,2019,120.38745387453874,0.0894192160856169,0.0298064053618723,0.009815536819871554,0.06712409282606603,1.0932572197059693
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",3.0,2.5813119264746054,0.045,0.44,633,1,0.16567600000000002,0.497028,10.1038/s41598-019-53180-8,,2019,160.51660516605168,0.0894192160856169,0.0298064053618723,0.009815536819871554,0.06712409282606603,0.88887708265204
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,TRX,None,2.5,0.0,0.0225,0.44,633,1,0.20983419,0.524585475,10.1038/s41598-019-53180-8,,2019,87.0,0.1281995515459812,0.05127982061839248,0.0,0.0,1.6140389434208529
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,DMM,None,2.5,0.0,0.0225,0.44,633,1,0.1784,0.446,10.1038/s41598-019-53180-8,,2019,87.0,0.07920976832757581,0.031683907331030325,0.0,0.0,0.8478613601783715
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.039,1.3333333333333333,633,1,0.159,0.3975,10.1039/C9CC08700A,UnsupportedVPO,2020,30.0,0.2555019786673813,0.10220079146695252,0.03365570653303607,0.2301564153757525,2.4374888764868174
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.039,1.3333333333333333,633,1,0.188,0.47,10.1039/C9CC08700A,33%VPO-MCF,2020,87.0,0.2555019786673813,0.10220079146695252,0.03365570653303607,0.2301564153757525,2.882062319368061
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.039,1.3333333333333333,633,1,0.204,0.51,10.1039/C9CC08700A,33%VPO-SilicaHP,2020,111.0055391073684,0.2555019786673813,0.10220079146695252,0.03365570653303607,0.2301564153757525,3.1273442188887466
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.039,1.3333333333333333,633,1,0.158,0.395,10.1039/C9CC08700A,,2020,273.6539102327913,0.2555019786673813,0.10220079146695252,0.03365570653303607,0.2301564153757525,2.4221587577667747
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.039,1.3333333333333333,633,1,0.198,0.495,10.1039/C9CC08700A,,2020,57.227166603456936,0.2555019786673813,0.10220079146695252,0.03365570653303607,0.2301564153757525,3.0353635065684896
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.039,1.3333333333333333,633,1,0.212,0.53,10.1039/C9CC08700A,gammaVPO-deltaVPO-3-1,2020,15.0,0.2555019786673813,0.10220079146695252,0.03365570653303607,0.2301564153757525,3.24998516864909
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10157759247993034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.0,0.44333333333333336,633,1,0.19838,0.49595,10.1021/acssuschemeng.0c05916,,2020,4.0,0.08495440790690428,0.03398176316276171,0.011190522422234492,0.07652700811243769,1.0111953264343003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10157759247993034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.03,0.44333333333333336,633,1,0.28454999999999997,0.7113749999999999,10.1021/acssuschemeng.0c05916,1,2020,4.0,0.08495440790690428,0.03398176316276171,0.011190522422234492,0.07652700811243769,1.4504266061945768
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10157759247993034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.03,0.44333333333333336,633,1,0.11895,0.297375,10.1021/acssuschemeng.0c05916,,2020,4.000006315672894,0.08495440790690428,0.03398176316276171,0.011190522422234492,0.07652700811243769,0.6063196092315759
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10157759247993034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.03,0.44333333333333336,633,1,0.125236,0.31309,10.1021/acssuschemeng.0c05916,,2020,4.000006315672894,0.08495440790690428,0.03398176316276171,0.011190522422234492,0.07652700811243769,0.6383610137177439
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.0,0.44333333333333336,633,1,0.025912,0.06478,10.1021/acssuschemeng.0c05916,,2020,20.0,0.08495440790690428,0.03398176316276171,0.011190522422234492,0.07652700811243769,0.13208031706102222
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.03,1.3333333333333333,633,1,0.05034260000000001,0.1258565,10.1039/D2RA06960A,,2023,250.0,0.2555019786673813,0.10220079146695252,0.03365570653303607,0.2301564153757525,0.7717580346756306
